product_id,product_name,category,brand,price,cost,weight_kg,dimensions,color,material,launch_date,is_active
P000001,Fundamental non-volatile process improvement,Beauty,"Fischer, Barnes and Miller",502.55,462.53,5.24,15x37x7,Azure,Cotton,2025-01-10,True
P000002,Open-source secondary architecture,Sports,"Quinn, Wilcox and Robinson",300.83,55.79,3.35,28x29x19,Fuchsia,Polyester,2024-01-02,False
P000003,Phased 4thgeneration frame,Clothing,Pugh-Morales,692.87,179.02,0.52,32x49x18,Coral,Wood,2023-01-01,True
P000004,Cross-group global solution,Electronics,Gomez and Sons,674.47,206.07,5.18,20x11x9,MediumVioletRed,Polyester,2023-01-31,False
P000005,Team-oriented maximized open architecture,Electronics,"Higgins, Campbell and Silva",134.97,121.82,6.49,33x34x6,DarkSeaGreen,Polyester,2022-11-25,True
P000006,Implemented neutral customer loyalty,Beauty,Brooks Ltd,455.42,188.63,4.49,14x46x9,LightSalmon,Polyester,2022-09-30,True
P000007,Vision-oriented bi-directional hierarchy,Home & Garden,"Rivera, Hicks and Alvarado",321.24,142.95,9.61,11x21x20,Teal,Polyester,2025-03-08,False
P000008,Inverse non-volatile protocol,Sports,Lee-Pineda,126.58,388.61,7.07,23x49x14,DarkKhaki,Leather,2024-04-25,False
P000009,Enterprise-wide holistic superstructure,Clothing,Kirk Ltd,131.41,427.15,4.58,38x15x15,LightGreen,Leather,2022-10-01,True
P000010,Focused composite alliance,Beauty,Thompson-May,74.29,273.37,8.92,20x50x10,AliceBlue,Wood,2025-03-25,True
P000011,Integrated high-level extranet,Electronics,"Moreno, King and Terry",985.28,397.07,2.44,41x11x16,Navy,Polyester,2024-01-22,True
P000012,Expanded upward-trending encoding,Home & Garden,Peterson-Watkins,805.63,278.07,6.16,15x14x14,Maroon,Cotton,2022-10-26,False
P000013,Multi-channeled upward-trending definition,Sports,"Smith, Vaughn and Miller",416.69,207.67,5.79,18x30x7,RoyalBlue,Cotton,2023-04-23,False
P000014,Visionary heuristic Graphical User Interface,Beauty,Martinez-Scott,522.19,68.53,8.31,45x50x10,DarkViolet,Metal,2024-07-16,False
P000015,Horizontal directional ability,Sports,"Hill, Chambers and Powell",911.61,32.43,1.33,19x29x10,RosyBrown,Metal,2024-04-10,True
P000016,Compatible full-range process improvement,Beauty,Hart-Parker,233.22,474.0,5.24,28x15x13,Olive,Metal,2025-04-08,True
P000017,Total multi-tasking challenge,Clothing,"King, Brady and Brock",628.77,309.14,1.02,20x47x9,HotPink,Metal,2022-11-10,True
P000018,Re-contextualized mobile capacity,Toys,"Griffith, Sanchez and Williamson",924.69,25.39,8.65,15x12x13,MediumBlue,Leather,2023-10-18,True
P000019,Self-enabling upward-trending support,Toys,"Young, Rice and Mitchell",576.42,310.96,0.4,50x44x14,Sienna,Leather,2025-02-09,True
P000020,Polarized tangible data-warehouse,Home & Garden,"Ramirez, Pruitt and Johnson",252.43,404.64,4.12,39x14x6,White,Metal,2023-09-14,False
P000021,Persistent 24hour circuit,Home & Garden,"Villarreal, Williams and Reed",489.41,105.99,6.11,30x30x16,MediumSeaGreen,Cotton,2022-09-26,True
P000022,Operative interactive strategy,Toys,Martinez-Thomas,376.83,283.02,3.26,39x17x13,LightSalmon,Cotton,2024-10-10,True
P000023,Profit-focused systematic projection,Clothing,"Gibson, Smith and Sanchez",105.84,148.65,3.9,49x36x12,Khaki,Metal,2025-01-21,True
P000024,Self-enabling national matrix,Sports,Elliott PLC,723.92,98.97,1.68,42x39x20,BlueViolet,Wood,2024-05-09,False
P000025,Cross-platform asynchronous productivity,Electronics,Porter PLC,99.15,199.65,4.63,25x23x16,FireBrick,Plastic,2025-03-14,True
P000026,Persistent interactive archive,Books,May-Carlson,499.95,441.76,6.58,40x28x5,SeaGreen,Plastic,2023-03-05,False
P000027,Customizable needs-based knowledge user,Clothing,"Doyle, Sampson and Rich",883.63,365.12,7.66,33x12x17,SlateGray,Plastic,2024-09-13,True
P000028,Seamless multi-state service-desk,Books,Macdonald-Peterson,557.69,41.4,5.09,45x27x8,SeaGreen,Metal,2023-03-04,True
P000029,Ergonomic asymmetric paradigm,Home & Garden,Crawford Inc,379.47,493.46,5.62,33x19x11,GreenYellow,Polyester,2024-05-23,False
P000030,Proactive non-volatile monitoring,Sports,Yang Inc,49.85,24.26,7.16,40x43x19,SpringGreen,Metal,2022-08-09,True
P000031,Programmable multimedia project,Books,Harmon-White,932.06,162.67,3.99,49x29x15,Gold,Polyester,2024-10-14,False
P000032,Re-engineered discrete capability,Beauty,Walsh-Smith,567.3,240.07,0.26,31x17x18,Fuchsia,Polyester,2022-12-16,True
P000033,Customizable tertiary conglomeration,Toys,Clark-Saunders,899.78,436.69,6.33,48x40x13,MediumSpringGreen,Leather,2025-06-05,True
P000034,Seamless maximized time-frame,Beauty,Stuart-White,60.84,242.82,5.29,49x34x9,LightSkyBlue,Leather,2023-11-10,True
P000035,Diverse web-enabled capability,Electronics,Riggs-Logan,576.84,351.76,1.99,38x30x18,SlateBlue,Metal,2023-01-14,False
P000036,Down-sized logistical access,Beauty,Moore PLC,211.85,253.4,6.15,40x13x9,HotPink,Polyester,2023-12-25,True
P000037,Monitored grid-enabled moderator,Sports,Diaz LLC,331.8,332.8,5.3,30x21x19,Black,Polyester,2023-06-24,True
P000038,Universal system-worthy conglomeration,Sports,Green PLC,360.74,387.13,7.24,26x49x20,LightGreen,Metal,2023-11-16,True
P000039,User-friendly optimizing pricing structure,Books,Rogers-Carter,562.51,116.31,9.73,29x28x11,GoldenRod,Leather,2023-08-29,False
P000040,Reduced content-based artificial intelligence,Books,"Harper, Murphy and Lindsey",485.01,282.44,9.35,27x28x8,PaleTurquoise,Polyester,2023-04-06,False
P000041,Switchable optimizing protocol,Home & Garden,Hayes LLC,820.19,477.53,8.07,28x12x14,Green,Leather,2025-03-07,True
P000042,Devolved radical synergy,Books,Graham Ltd,924.77,329.71,7.5,23x22x13,SeaShell,Polyester,2023-12-02,True
P000043,Pre-emptive grid-enabled workforce,Clothing,"Hines, Wong and Salinas",118.13,371.74,2.47,13x43x12,DarkRed,Leather,2025-01-07,True
P000044,Fully-configurable web-enabled protocol,Electronics,"Russo, Rich and Smith",109.2,168.5,4.78,18x10x10,MediumOrchid,Cotton,2025-05-05,False
P000045,Visionary stable definition,Home & Garden,"Huff, Sutton and Carter",654.03,379.18,2.94,28x13x7,Silver,Leather,2023-05-17,True
P000046,Compatible optimal groupware,Sports,Ramos-Kelley,741.3,425.91,0.47,21x36x10,Salmon,Plastic,2023-03-07,False
P000047,Profit-focused executive firmware,Toys,Webb-Graham,500.43,468.62,9.63,28x12x5,Coral,Wood,2023-12-16,True
P000048,Re-contextualized composite conglomeration,Books,Pierce-Garcia,291.72,494.6,5.48,41x18x19,WhiteSmoke,Wood,2025-05-14,True
P000049,Organic 6thgeneration strategy,Toys,"Alvarez, Brown and Miller",121.52,85.43,4.64,26x21x5,Green,Leather,2025-07-10,True
P000050,Enhanced discrete collaboration,Toys,Schneider and Sons,302.07,338.83,2.01,49x50x17,Navy,Cotton,2023-09-25,True
P000051,Digitized background complexity,Electronics,Jackson Ltd,406.82,52.22,9.82,40x30x12,DarkSalmon,Plastic,2023-02-09,True
P000052,Multi-channeled holistic architecture,Home & Garden,Townsend-Sanchez,243.17,378.11,9.54,29x47x5,Blue,Wood,2023-11-26,True
P000053,Versatile directional moderator,Beauty,Mccormick-Johnson,243.94,335.55,4.71,20x35x14,Lime,Leather,2025-07-13,True
P000054,Robust zero administration interface,Beauty,Mcconnell-Sullivan,916.97,151.04,6.18,24x18x20,Tan,Metal,2024-03-27,False
P000055,Multi-tiered dynamic portal,Beauty,Huang Group,988.95,189.94,7.05,40x44x11,LightSteelBlue,Metal,2023-06-19,True
P000056,Enterprise-wide clear-thinking challenge,Sports,Wright-Palmer,452.28,353.36,0.87,46x17x6,DeepPink,Polyester,2023-09-17,True
P000057,Re-engineered 4thgeneration task-force,Sports,"Flynn, Combs and Boyer",541.29,86.45,8.56,38x17x11,ForestGreen,Leather,2023-07-28,False
P000058,Reverse-engineered mobile encryption,Electronics,"Long, Beasley and Wright",899.9,225.51,0.65,18x42x18,Linen,Cotton,2024-07-30,True
P000059,Object-based system-worthy throughput,Sports,"Gonzalez, King and Kramer",467.75,404.42,7.26,35x26x5,LightSteelBlue,Leather,2023-06-22,True
P000060,Organic foreground strategy,Sports,"Ortiz, Sanders and Massey",82.3,214.73,7.03,44x13x7,Pink,Cotton,2023-08-31,True
P000061,Quality-focused motivating time-frame,Books,"Cordova, Sanders and Salinas",414.78,385.64,7.68,36x33x17,AliceBlue,Cotton,2023-07-15,False
P000062,Re-contextualized responsive flexibility,Home & Garden,Shepard Ltd,89.45,482.25,8.76,18x32x8,LightGoldenRodYellow,Metal,2024-11-03,False
P000063,Advanced user-facing portal,Sports,Henderson-Fitzpatrick,136.07,489.47,8.36,11x29x19,DarkSlateBlue,Leather,2024-09-16,False
P000064,Cross-platform mobile throughput,Sports,Garner Inc,385.48,118.68,4.66,19x27x11,LightPink,Leather,2025-01-05,True
P000065,Innovative multi-state portal,Electronics,"Bowen, Barrett and Clayton",811.38,212.52,7.68,11x25x11,GoldenRod,Plastic,2023-05-29,True
P000066,Profound 6thgeneration architecture,Sports,Medina-Harris,43.24,300.9,7.06,13x25x6,Snow,Cotton,2025-01-07,False
P000067,Enterprise-wide zero administration process improvement,Clothing,Clark-Moran,544.36,378.42,7.78,18x42x14,MidnightBlue,Metal,2023-08-14,True
P000068,Future-proofed value-added model,Sports,Dennis Group,601.94,337.9,3.27,29x19x12,Green,Cotton,2024-11-23,True
P000069,Extended methodical algorithm,Books,Mcgee Ltd,70.35,474.52,8.81,21x50x18,LemonChiffon,Polyester,2025-06-11,False
P000070,Balanced attitude-oriented collaboration,Electronics,Brown Ltd,972.57,471.09,6.75,43x30x18,Olive,Cotton,2024-09-15,True
P000071,Cross-platform composite synergy,Books,James-Taylor,382.7,378.44,4.79,24x29x9,SandyBrown,Cotton,2025-01-17,True
P000072,Robust neutral neural-net,Sports,"Anderson, Baker and Bates",418.55,211.17,5.35,34x25x13,Maroon,Metal,2025-06-04,True
P000073,Synergized background methodology,Beauty,"Newton, Hood and Reynolds",88.28,227.64,3.77,44x22x6,Violet,Wood,2025-02-05,False
P000074,Operative neutral service-desk,Beauty,Anderson LLC,608.92,24.58,0.82,47x45x11,RoyalBlue,Cotton,2024-08-18,True
P000075,Expanded real-time info-mediaries,Toys,Mendoza-Rivas,907.96,155.08,9.1,23x22x8,CornflowerBlue,Leather,2024-10-29,False
P000076,Pre-emptive national hub,Clothing,"Sanders, Humphrey and Jones",698.67,353.37,4.03,25x45x15,DarkSlateBlue,Wood,2024-10-02,False
P000077,Customizable client-driven customer loyalty,Home & Garden,Williams Inc,538.31,182.83,2.69,42x41x19,SaddleBrown,Plastic,2024-09-25,False
P000078,Visionary scalable algorithm,Toys,Guzman-Ortiz,841.33,457.59,3.77,36x12x12,DimGray,Leather,2023-06-04,True
P000079,Customizable asynchronous flexibility,Electronics,Watson-Williams,268.17,467.71,5.83,36x28x9,RoyalBlue,Metal,2024-09-16,True
P000080,Exclusive discrete artificial intelligence,Clothing,"Williams, Garcia and Rosales",386.04,417.51,5.04,31x26x20,Bisque,Leather,2025-02-01,False
P000081,Multi-channeled 6thgeneration neural-net,Home & Garden,"Ware, Harris and Clarke",176.55,398.51,1.78,44x41x10,DarkViolet,Polyester,2025-01-27,True
P000082,Exclusive object-oriented middleware,Sports,Murphy Ltd,43.49,424.12,9.46,13x10x18,MediumOrchid,Metal,2023-03-02,True
P000083,Function-based empowering budgetary management,Electronics,Sullivan-Shaffer,710.1,9.53,5.11,33x13x20,OrangeRed,Leather,2024-12-04,False
P000084,Right-sized leadingedge pricing structure,Electronics,Gamble and Sons,16.55,278.06,0.22,43x27x14,LightGray,Plastic,2024-09-14,False
P000085,Virtual executive focus group,Toys,Bell Inc,940.31,93.74,9.19,43x19x12,RoyalBlue,Metal,2025-03-31,True
P000086,Upgradable composite algorithm,Toys,Velez PLC,360.9,398.49,0.88,35x39x12,Aqua,Leather,2023-12-26,True
P000087,Mandatory even-keeled moratorium,Books,Hill and Sons,687.2,424.69,6.57,12x15x17,PeachPuff,Cotton,2023-06-25,False
P000088,Devolved heuristic circuit,Sports,Haynes-Schaefer,481.25,320.19,7.06,15x41x18,HotPink,Leather,2023-11-14,True
P000089,Balanced multi-tasking task-force,Sports,"Sanchez, Garrett and Walton",977.56,487.05,8.96,12x24x11,MediumSpringGreen,Leather,2023-07-05,False
P000090,Streamlined background core,Books,Bean-Ellis,56.1,41.8,9.26,44x46x6,MediumBlue,Metal,2023-09-01,True
P000091,Universal 3rdgeneration help-desk,Electronics,Davis Group,961.85,295.58,7.55,35x14x14,LightGoldenRodYellow,Metal,2024-04-29,True
P000092,Reduced stable matrices,Sports,Craig Inc,836.3,197.63,8.98,31x34x9,Yellow,Leather,2024-09-27,True
P000093,Networked content-based info-mediaries,Sports,Rose-Trevino,748.0,176.2,1.07,24x14x15,Green,Polyester,2025-05-14,False
P000094,Cross-platform value-added analyzer,Toys,Bryant-Stewart,333.11,318.89,7.86,38x41x12,DarkOliveGreen,Wood,2024-04-07,False
P000095,Future-proofed 5thgeneration budgetary management,Home & Garden,"Banks, Lee and Rios",193.88,295.01,3.86,49x28x12,Cornsilk,Leather,2023-09-17,True
P000096,Expanded discrete extranet,Electronics,"Smith, Burgess and Cooley",275.29,193.1,7.86,19x34x15,Gold,Wood,2025-04-27,True
P000097,Synergistic interactive hierarchy,Electronics,"Gallagher, Bush and May",15.14,157.59,3.66,27x16x9,RoyalBlue,Plastic,2025-01-19,True
P000098,Expanded intangible orchestration,Home & Garden,Maldonado-Cole,454.36,279.6,4.14,11x15x16,Orange,Polyester,2022-09-11,True
P000099,Persevering 6thgeneration architecture,Sports,Hall-Parks,602.06,165.59,3.91,28x36x17,RoyalBlue,Plastic,2024-10-24,True
P000100,Multi-lateral 24hour open architecture,Sports,Martin Group,525.89,344.23,1.78,27x29x13,Azure,Cotton,2023-11-13,True
P000101,Reduced asynchronous Internet solution,Electronics,Dixon-Daniels,175.54,141.6,3.07,14x33x13,Crimson,Metal,2024-11-16,False
P000102,Compatible logistical monitoring,Sports,"Sosa, Jackson and Allen",620.5,231.64,1.44,10x35x15,Khaki,Polyester,2023-02-02,False
P000103,Adaptive exuding time-frame,Toys,Ryan-Kelley,863.58,222.91,4.36,48x18x14,IndianRed,Wood,2022-10-29,True
P000104,Virtual uniform capacity,Home & Garden,Williams LLC,321.04,482.46,9.69,28x50x20,LightSalmon,Polyester,2025-05-05,True
P000105,Re-engineered foreground model,Books,"Lowe, Whitehead and Moore",382.29,409.16,3.99,17x46x11,DimGray,Polyester,2024-08-20,True
P000106,Horizontal 6thgeneration concept,Beauty,Boyer PLC,769.94,18.32,7.3,23x38x14,Peru,Leather,2023-07-29,True
P000107,Cross-group context-sensitive Graphic Interface,Toys,Blackburn Ltd,849.31,398.55,6.76,18x50x14,MediumOrchid,Metal,2025-06-16,True
P000108,Right-sized national structure,Beauty,Yoder-Cruz,162.6,214.45,3.83,38x48x20,PaleVioletRed,Polyester,2022-11-29,False
P000109,Programmable bifurcated emulation,Sports,"Hawkins, Anderson and Figueroa",511.55,460.59,6.95,44x12x16,MediumPurple,Leather,2024-07-12,True
P000110,Fully-configurable empowering system engine,Electronics,Garcia-Moore,771.26,330.51,3.61,49x12x17,Tan,Wood,2024-01-04,False
P000111,Re-engineered client-server function,Electronics,Taylor-White,20.44,133.08,5.16,43x45x12,PapayaWhip,Cotton,2023-10-16,True
P000112,Quality-focused explicit hierarchy,Home & Garden,"Clark, Harris and Macias",468.43,341.38,6.94,19x32x5,LightSalmon,Cotton,2022-12-16,True
P000113,Streamlined web-enabled installation,Books,Harris Ltd,421.82,481.06,1.25,19x32x14,DarkTurquoise,Wood,2023-04-09,False
P000114,Streamlined tertiary solution,Toys,"Drake, Harris and Cross",214.8,244.05,4.81,38x38x15,SandyBrown,Plastic,2023-07-01,True
P000115,Visionary grid-enabled utilization,Electronics,Stone-Conrad,812.08,61.97,8.51,16x20x12,CadetBlue,Polyester,2025-01-17,True
P000116,Re-contextualized zero tolerance software,Sports,"Hicks, Moore and Soto",168.53,282.13,9.59,24x35x10,PeachPuff,Metal,2024-08-10,False
P000117,Inverse zero-defect matrices,Home & Garden,Hernandez-Hancock,38.9,308.98,2.05,47x37x17,Turquoise,Plastic,2024-01-25,True
P000118,Reduced zero-defect open architecture,Clothing,Bradley Ltd,285.56,353.36,7.98,46x16x10,Navy,Wood,2023-05-09,True
P000119,Open-source uniform toolset,Clothing,Lang-Lopez,462.97,134.86,8.64,43x50x15,Gray,Polyester,2022-11-22,False
P000120,Innovative intermediate archive,Sports,Hensley-Ross,398.62,61.54,3.58,39x49x10,MintCream,Leather,2023-06-18,True
P000121,Stand-alone 24hour matrix,Sports,Lee-Weeks,594.27,337.69,3.2,25x29x8,DarkGoldenRod,Metal,2025-07-05,True
P000122,Monitored homogeneous process improvement,Beauty,Key and Sons,149.94,197.29,6.0,46x34x18,LightCoral,Metal,2024-07-17,False
P000123,Distributed zero tolerance utilization,Beauty,"Miller, Reeves and Gaines",542.01,459.98,9.31,21x45x10,MidnightBlue,Cotton,2024-11-08,True
P000124,Versatile high-level monitoring,Clothing,"Hurst, Perry and Reeves",195.23,421.78,6.23,32x10x20,MintCream,Metal,2024-12-01,True
P000125,Digitized discrete utilization,Toys,Richardson Inc,390.1,282.98,6.57,36x41x18,Fuchsia,Leather,2023-09-30,False
P000126,Configurable 24/7 software,Home & Garden,"Jones, Lowe and Williams",175.58,284.87,7.98,24x28x6,Green,Wood,2025-07-30,True
P000127,Multi-layered intangible initiative,Sports,Perez-Johnson,295.78,391.47,5.7,41x45x8,MediumVioletRed,Polyester,2022-08-25,True
P000128,Synergistic clear-thinking neural-net,Books,Conley-Lawrence,777.36,412.52,3.73,12x38x11,LightBlue,Cotton,2024-10-29,True
P000129,Function-based cohesive project,Beauty,Walker-Miller,831.77,376.92,3.05,12x38x13,DarkOrchid,Wood,2025-02-28,True
P000130,User-friendly methodical open architecture,Home & Garden,"Santiago, Howard and Singleton",866.64,63.11,8.14,23x47x16,DarkSeaGreen,Leather,2025-05-17,False
P000131,Universal encompassing collaboration,Clothing,Leonard-Gaines,619.99,393.5,8.15,13x46x16,Plum,Polyester,2025-07-18,True
P000132,Proactive system-worthy policy,Sports,Todd-Neal,543.38,165.21,7.07,28x46x13,PeachPuff,Polyester,2023-05-09,True
P000133,Fully-configurable eco-centric toolset,Clothing,"Walters, Fisher and Cross",963.14,393.92,9.2,27x18x9,MediumAquaMarine,Metal,2023-09-06,True
P000134,Automated well-modulated knowledge user,Beauty,Levine-Johnson,328.88,127.54,8.45,35x41x9,Moccasin,Polyester,2023-10-25,True
P000135,Universal bifurcated open system,Beauty,"Branch, Anderson and Snow",420.08,228.74,6.37,15x35x13,BlueViolet,Leather,2023-01-10,True
P000136,Persistent methodical secured line,Home & Garden,Becker Inc,950.75,167.01,0.12,15x39x16,SteelBlue,Plastic,2022-09-16,False
P000137,Compatible regional challenge,Clothing,"Dawson, Fuller and Waters",968.45,413.3,5.0,30x28x15,Cyan,Polyester,2024-03-15,True
P000138,Distributed demand-driven neural-net,Sports,"Bishop, Mcclure and May",853.9,395.21,8.95,13x12x8,Bisque,Leather,2025-01-01,False
P000139,Virtual clear-thinking forecast,Electronics,"Fields, Lowe and Cain",132.99,429.54,4.47,10x37x11,Indigo,Leather,2023-07-20,True
P000140,Exclusive incremental customer loyalty,Beauty,Harmon-Solomon,308.85,437.84,8.78,15x33x13,SteelBlue,Plastic,2024-05-04,True
P000141,Compatible logistical archive,Beauty,Richardson-Cruz,904.76,86.93,4.02,29x24x18,Navy,Leather,2025-07-07,True
P000142,Multi-lateral systematic productivity,Beauty,Lewis-Suarez,104.23,110.64,0.87,47x24x19,Crimson,Plastic,2024-11-14,True
P000143,Decentralized zero tolerance policy,Beauty,Carroll-Hart,350.14,64.69,8.62,18x40x7,Red,Metal,2023-02-06,False
P000144,Team-oriented systemic frame,Electronics,Williams LLC,733.46,55.7,3.2,29x18x17,Black,Metal,2023-07-31,True
P000145,Configurable stable protocol,Electronics,Smith and Sons,535.2,9.19,6.54,38x32x11,GhostWhite,Leather,2025-06-23,True
P000146,Adaptive fault-tolerant core,Home & Garden,Hamilton LLC,619.92,223.98,2.25,16x18x8,MediumPurple,Polyester,2024-04-16,False
P000147,Realigned mobile utilization,Books,Velez Group,963.62,160.68,1.48,27x15x12,MintCream,Polyester,2022-10-01,True
P000148,Total systemic firmware,Toys,"Cox, Myers and Glass",941.87,18.28,8.49,29x23x11,LavenderBlush,Leather,2023-04-28,False
P000149,Operative systematic parallelism,Books,Grant Ltd,649.71,392.98,7.96,25x41x17,PaleVioletRed,Plastic,2024-02-24,True
P000150,Business-focused heuristic Internet solution,Home & Garden,Gomez Inc,641.7,40.15,8.9,10x33x15,LightPink,Metal,2023-08-23,False
P000151,Operative dedicated parallelism,Toys,"Fletcher, Allen and Chan",840.58,213.33,5.51,21x40x7,Black,Plastic,2023-03-08,True
P000152,Right-sized modular core,Electronics,Nichols-Mcintosh,269.56,24.71,0.7,35x42x14,Lime,Leather,2024-02-20,False
P000153,Reactive intangible emulation,Home & Garden,Gray PLC,704.79,45.8,5.41,49x19x13,Plum,Plastic,2023-05-29,True
P000154,Customizable value-added time-frame,Electronics,Freeman Ltd,516.19,105.58,8.1,44x30x17,DarkGreen,Polyester,2024-02-03,True
P000155,Phased incremental superstructure,Books,Bruce-Larson,701.69,366.33,8.48,13x25x7,SaddleBrown,Cotton,2024-06-22,True
P000156,Secured multi-state function,Home & Garden,"Wallace, Small and Ortiz",616.17,32.24,6.69,21x17x5,MediumAquaMarine,Leather,2023-10-04,True
P000157,Proactive stable function,Beauty,Barton-Lam,21.24,250.72,3.53,43x26x10,Plum,Wood,2023-12-25,True
P000158,Enterprise-wide stable Local Area Network,Beauty,Werner-Walter,783.31,138.04,8.88,11x31x18,Cornsilk,Wood,2024-07-31,True
P000159,Enhanced mobile encryption,Books,Park-Alvarez,715.2,290.44,0.86,39x42x16,SlateGray,Plastic,2023-06-20,False
P000160,Visionary multimedia standardization,Toys,"Sparks, Johnson and Richards",571.22,187.01,2.63,16x46x8,DarkSlateGray,Metal,2023-03-25,True
P000161,Synergized secondary adapter,Electronics,Boone-Norman,860.1,11.08,0.56,33x34x9,MediumPurple,Metal,2023-09-19,True
P000162,Reverse-engineered foreground challenge,Sports,Taylor-Crawford,805.08,358.44,6.59,24x30x12,Crimson,Cotton,2025-04-14,True
P000163,Diverse cohesive flexibility,Books,"Joseph, Brown and Kelley",827.74,287.91,1.28,13x21x12,SlateBlue,Polyester,2024-06-15,True
P000164,Optimized reciprocal architecture,Home & Garden,Howe-Gibson,78.24,235.22,2.89,29x30x7,ForestGreen,Polyester,2024-08-15,False
P000165,Streamlined multi-tasking database,Electronics,Roberson-Taylor,375.23,149.34,7.87,49x25x19,BlanchedAlmond,Wood,2025-01-21,False
P000166,Diverse zero administration info-mediaries,Toys,Scott-Strickland,778.13,367.57,5.51,25x19x5,Chartreuse,Cotton,2022-10-03,True
